code,prov,area_ha,sp,elev_mean,elev_min,elev_max,elevF,perim,lat,long,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,sp_abrev,especie
AL053008,AL,14.043358600000001,PINUS HALEPENSIS,348.3,311,397,0verylow,2357.67,37.37834,-1.96041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,0,4,0,0,1,0,1,2,phale,P. halepensis
AL053009,AL,61.1009931,PINUS HALEPENSIS,287.62,222,365,0verylow,5852.11,37.37659,-1.95107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0,2,0,0,0,0,0,1,phale,P. halepensis
AL053010,AL,8.012222999999999,PINUS HALEPENSIS,368.18,329,425,0verylow,1298.4,37.37536,-1.96753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,3,0,0,1,0,1,2,phale,P. halepensis
AL053011,AL,57.2788088,PINUS HALEPENSIS,303.04,241,434,0verylow,5922.57,37.36914,-1.96337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,3,0,0,1,0,1,2,phale,P. halepensis
AL053012,AL,10.6426364,PINUS HALEPENSIS,318.43,287,353,0verylow,1389.29,37.37152,-1.9649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,4,0,0,0,0,0,2,phale,P. halepensis
AL053013,AL,8.5271436,PINUS HALEPENSIS,321.74,286,368,0verylow,1954.56,37.37258,-1.95404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,1,3,0,0,1,0,0,2,phale,P. halepensis
AL053014,AL,19.0175428,PINUS HALEPENSIS,294.52,266,361,0verylow,2766.37,37.36984,-1.95499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,3,0,0,0,0,1,2,phale,P. halepensis
AL053015,AL,12.345974700000001,PINUS HALEPENSIS,317.17,275,366,0verylow,2526.49,37.36845,-1.95111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,3,1,1,1,4,0,0,0,0,0,2,phale,P. halepensis
AL053016,AL,41.1051959,PINUS HALEPENSIS,267.15,204,360,0verylow,5802.83,37.37098,-1.94552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,0,1,0,3,0,0,1,0,0,2,phale,P. halepensis
AL053017,AL,10.4799609,PINUS HALEPENSIS,291.12,229,351,0verylow,2140.37,37.37046,-1.94725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,0,0,1,4,0,0,0,0,1,2,phale,P. halepensis
AL053018,AL,9.6299891,PINUS HALEPENSIS,378.69,336,432,0verylow,1455.56,37.37332,-1.97238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,4,0,0,1,0,0,2,phale,P. halepensis
AL053019,AL,27.9851706,PINUS HALEPENSIS,317.05,261,404,0verylow,5393.12,37.36769,-1.97585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0,0,3,0,0,1,0,0,2,phale,P. halepensis
AL053020,AL,17.345270000000003,PINUS HALEPENSIS,328.19,286,388,0verylow,2621.52,37.36979,-1.97639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,3,0,0,0,3,0,0,0,0,0,2,phale,P. halepensis
AL053021,AL,40.9598813,PINUS HALEPENSIS,255.74,215,306,0verylow,3624.35,37.36002,-1.9723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,3,0,0,0,0,0,3,phale,P. halepensis
AL053022,AL,9.7926444,PINUS HALEPENSIS,246.64,205,296,0verylow,2445.86,37.36028,-1.96516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,1,0,4,0,0,2,0,1,3,phale,P. halepensis
AL053023,AL,36.5464619,PINUS HALEPENSIS,238.4,194,274,0verylow,3577.77,37.35541,-1.96772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,0,0,3,0,0,0,0,0,3,phale,P. halepensis
AL053024,AL,8.2249543,PINUS HALEPENSIS,279.36,260,309,0verylow,1670.89,37.36615,-1.95499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,3,0,1,0,4,0,0,1,0,0,3,phale,P. halepensis
AL053025,AL,57.723923600000006,PINUS HALEPENSIS,231.15,169,293,0verylow,6801.73,37.35733,-1.95977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,0,0,2,3,0,2,2,1,1,3,phale,P. halepensis
AL053026,AL,9.432037,PINUS HALEPENSIS,238.52,201,281,0verylow,1547.67,37.36129,-1.94951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4,0,1,3,4,0,0,1,0,0,2,phale,P. halepensis
AL053027,AL,3.3222391000000004,PINUS HALEPENSIS,275.87,248,295,0verylow,1095.27,37.36327,-1.9485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4,0,1,2,5,0,0,1,0,0,2,phale,P. halepensis
AL053028,AL,1.3402181,PINUS HALEPENSIS,287.09,278,295,0verylow,521.81,37.36518,-1.949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4,0,1,2,5,0,0,0,0,0,0,phale,P. halepensis
AL053029,AL,3.3084061,PINUS HALEPENSIS,205.02,171,255,0verylow,744.25,37.34728,-1.96226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,5,0,0,0,0,0,0,phale,P. halepensis
AL053030,AL,72.34384250000001,PINUS HALEPENSIS,273.99,214,366,0verylow,5383.28,37.3393,-1.94983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,3,0,0,1,0,1,2,phale,P. halepensis
AL053031,AL,48.5677208,PINUS HALEPENSIS,257.41,173,415,0verylow,4607.08,37.35045,-1.95052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,0,1,0,3,0,1,0,0,0,2,phale,P. halepensis
AL053032,AL,22.5487403,PINUS HALEPENSIS,272.13,162,414,0verylow,3430.93,37.34961,-1.94583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,0,1,1,3,0,0,0,0,1,2,phale,P. halepensis
AL053033,AL,2.0263827,PINUS HALEPENSIS,226.59,167,295,0verylow,676.84,37.34971,-1.94197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,0,0,1,0,0,0,0,0,1,phale,P. halepensis
AL053034,AL,10.2375793,PINUS HALEPENSIS,236.07,161,361,0verylow,2976.06,37.35025,-1.9336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,2,0,0,1,0,0,1,phale,P. halepensis
AL053035,AL,9.3657994,PINUS HALEPENSIS,358.06,320,393,0verylow,1672.97,37.34645,-1.93934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,0,1,1,2,0,0,1,0,0,2,phale,P. halepensis
AL053036,AL,135.1961352,PINUS HALEPENSIS,268.57,177,389,0verylow,15873.85,37.33568,-1.93582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,3,0,0,1,0,1,2,phale,P. halepensis
AL053037,AL,8.9187051,PINUS HALEPENSIS,227.93,165,278,0verylow,2377.43,37.33452,-1.92377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,2,4,0,1,2,0,1,1,phale,P. halepensis
AL053038,AL,25.3648799,PINUS HALEPENSIS,212.04,160,280,0verylow,2778.52,37.361,-1.94108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,0,1,3,0,1,0,0,1,2,phale,P. halepensis
AL053039,AL,5.0107943,PINUS HALEPENSIS,205.89,185,214,0verylow,1117.75,37.35737,-1.93987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,0,1,4,0,0,0,0,0,1,phale,P. halepensis
AL053040,AL,15.920810500000002,PINUS HALEPENSIS,267.57,216,320,0verylow,1955.94,37.359610000000004,-1.93323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,3,0,0,1,0,0,2,phale,P. halepensis
AL053041,AL,5.8668769,PINUS HALEPENSIS,371.48,329,411,0verylow,1151.09,37.36269,-1.93249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,1,3,0,1,1,0,0,3,phale,P. halepensis
AL053042,AL,179.28699709999998,PINUS HALEPENSIS,405.12,257,578,0verylow,13853.92,37.36736,-1.91519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,3,0,0,0,3,0,0,1,1,3,4,phale,P. halepensis
AL053043,AL,163.339246,PINUS HALEPENSIS,484.25,284,588,0verylow,15274.08,37.3785,-1.90432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,3,0,1,1,3,0,0,3,1,2,3,phale,P. halepensis
AL053044,AL,27.8954492,PINUS HALEPENSIS,294.67,202,413,0verylow,3682.95,37.3673,-1.93214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,0,0,1,3,0,0,0,1,1,3,phale,P. halepensis
AL053045,AL,16.6084919,PINUS HALEPENSIS,280.77,227,361,0verylow,2397.87,37.37003,-1.92728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,0,1,1,2,0,0,0,0,2,4,phale,P. halepensis
AL053046,AL,91.2742205,PINUS HALEPENSIS,300.28,232,424,0verylow,7709.56,37.3769,-1.92398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,0,0,0,3,0,1,1,1,3,4,phale,P. halepensis
AL053047,AL,4.3700933,PINUS HALEPENSIS,354.1,290,427,0verylow,1088.22,37.36011,-1.92618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,1,1,1,0,0,0,0,0,3,phale,P. halepensis
AL053048,AL,117.3745179,PINUS HALEPENSIS,510.26,409,663,0verylow,8245.6,37.36729,-1.89693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,3,0,0,1,4,0,0,1,0,1,4,phale,P. halepensis
AL053049,AL,6.7694394,PINUS HALEPENSIS,501.45,455,565,0verylow,1169.39,37.3735,-1.87785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,3,0,1,1,4,0,0,1,0,0,2,phale,P. halepensis
AL053050,AL,45.1589616,PINUS HALEPENSIS,439.5,367,619,0verylow,4796.23,37.37962,-1.88352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,1,1,1,3,0,1,1,1,1,2,phale,P. halepensis
AL053051,AL,19.2190986,PINUS HALEPENSIS,267.69,205,360,0verylow,2429.09,37.3298,-1.92767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,4,0,1,3,0,1,2,phale,P. halepensis
AL055001,AL,124.18085330000001,PINUS HALEPENSIS,727.44,444,1015,1low,6710.58,36.98218,-2.67147,NA,NA,1,1,0,0,2,NA,1,1,0,1,NA,0,0,0,1,0,0,0,0,0,0,0,1,1,1,phale,P. halepensis
AL055002,AL,74.84260069999999,PINUS HALEPENSIS,1183.93,1039,1370,1low,4004.62,36.95588,-2.69341,NA,NA,NA,NA,NA,3,2,NA,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,phale,P. halepensis
AL055003,AL,149.5908603,PINUS HALEPENSIS,1485.69,1352,1573,2medium,9994.64,36.92005,-2.7124,NA,NA,NA,NA,NA,3,1,NA,1,3,0,0,1,1,2,0,1,1,1,3,0,1,1,2,2,2,2,phale,P. halepensis
AL055004,AL,42.639439,PINUS NIGRA SSP SALZM.,1582.2,1529,1622,2medium,4370.06,36.92262,-2.73243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,2,0,1,1,1,4,0,1,1,2,2,2,2,pnig_sal,P. nigra
AL056001,AL,17.8735642,PINUS HALEPENSIS,781.39,700,858,1low,2006.07,37.32352,-2.33682,NA,0,0,0,2,1,0,0,1,2,0,0,0,1,0,0,0,2,0,0,0,0,0,1,2,2,1,phale,P. halepensis
AL056002,AL,92.39242639999999,PINUS HALEPENSIS,1002.55,773,1163,1low,5762.98,37.3144,-2.34497,NA,0,0,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,2,1,phale,P. halepensis
AL056003,AL,51.8428362,PINUS HALEPENSIS,832.85,678,996,1low,3487.15,37.31479,-2.32973,NA,2,2,2,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,3,3,1,phale,P. halepensis
AL056004,AL,29.3637192,PINUS PINASTER,1471.57,1384,1554,2medium,3562.28,37.2583,-2.36212,NA,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,2,3,2,1,ppinas,P. pinaster
AL057001,AL,404.7121424,PINUS SYLVESTRIS,2145.32,1727,2432,3high,43292.21,37.07697,-2.9061,0,0,0,0,0,1,0,0,1,NA,1,1,NA,0,1,0,0,1,1,2,1,1,1,2,0,1,3,psylv,P. sylvestris
AL057002,AL,46.0387762,PINUS SYLVESTRIS,2295.3,2224,2414,3high,5807.42,37.08483,-2.92755,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,1,1,1,1,1,1,0,0,1,psylv,P. sylvestris
AL057003,AL,123.9471402,PINUS SYLVESTRIS,2249.25,1973,2411,3high,7851.84,37.07937,-2.86722,0,0,0,0,0,0,2,0,0,NA,1,0,NA,0,0,0,0,1,1,3,1,1,1,1,0,1,1,psylv,P. sylvestris
AL057004,AL,24.8568042,PINUS SYLVESTRIS,2257.71,2170,2337,3high,4216.94,37.0822,-2.90114,0,0,0,0,0,0,0,0,0,NA,1,0,NA,0,1,0,1,0,1,1,1,1,1,1,0,1,1,psylv,P. sylvestris
AL057005,AL,23.269482,PINUS PINEA,2240.78,2185,2335,3high,3640.54,37.08016,-2.88965,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,1,2,1,1,1,1,0,0,1,ppinea,P. pinea
AL057006,AL,103.1695643,PINUS SYLVESTRIS,2006.73,1836,2177,3high,6504.68,37.06348,-2.86401,0,0,0,0,0,0,2,0,0,0,3,1,1,1,0,0,0,1,1,3,1,2,2,1,0,2,2,psylv,P. sylvestris
AL057007,AL,317.3303169,PINUS SYLVESTRIS,1896.17,1626,2120,3high,17679.33,37.06228,-2.9037,0,0,0,0,0,1,0,0,1,NA,3,2,2,1,0,0,0,0,2,3,1,1,1,1,0,1,2,psylv,P. sylvestris
AL057008,AL,133.58343349999998,PINUS SYLVESTRIS,1769.8,1557,1987,3high,10801.8,37.04525,-2.91703,3,0,0,0,3,3,3,0,2,0,3,2,1,1,0,0,0,1,1,2,1,1,1,2,0,2,2,psylv,P. sylvestris
AL057009,AL,49.2835363,PINUS SYLVESTRIS,1620.85,1506,1702,2medium,4617.3,37.04224,-2.87205,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,NA,1,0,0,0,1,0,4,1,1,1,1,1,1,2,psylv,P. sylvestris
AL057010,AL,104.6714183,PINUS SYLVESTRIS,1445.39,1230,1609,2medium,7127.99,37.03218,-2.90658,3,0,0,0,3,3,2,0,3,0,2,1,2,1,1,0,0,1,1,2,1,1,1,2,0,1,3,psylv,P. sylvestris
AL057011,AL,157.6961998,PINUS NIGRA SSP AUSTR.,1452.88,1222,1673,2medium,13471.3,37.03046,-2.8788299999999998,3,2,0,0,1,4,1,0,1,1,3,0,3,1,0,0,0,1,1,3,1,1,1,1,1,1,1,pnig_aus,P. nigra
AL057012,AL,292.9195514,PINUS HALEPENSIS,1113.87,896,1345,1low,27957.17,37.01281,-2.88585,3,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,phale,P. halepensis
AL057013,AL,84.7692543,PINUS HALEPENSIS,1164.95,999,1288,1low,6785.44,37.0243,-2.89007,0,0,0,0,1,3,0,0,0,0,0,1,2,1,1,0,0,0,0,1,0,1,0,1,0,0,0,phale,P. halepensis
AL057014,AL,64.4894951,PINUS NIGRA SSP SALZM.,1358.26,1177,1456,2medium,6290.26,37.01737,-2.90255,3,0,0,0,4,3,0,0,2,0,3,0,3,2,1,2,0,3,1,1,0,1,1,3,1,3,3,pnig_sal,P. nigra
AL057015,AL,261.1400234,PINUS HALEPENSIS,1237.73,904,1491,2medium,28210.11,36.95499,-2.91076,NA,NA,NA,NA,NA,NA,2,0,0,0,0,0,0,2,0,1,2,2,1,1,0,0,0,0,0,0,NA,phale,P. halepensis
AL057016,AL,348.2729506,PINUS NIGRA SSP SALZM.,1252.96,966,1581,2medium,18301.49,36.93014,-2.92355,NA,NA,NA,NA,NA,NA,3,0,0,0,0,3,0,0,0,1,1,1,1,1,0,1,0,0,0,4,2,pnig_sal,P. nigra
AL057017,AL,337.5653891,PINUS NIGRA SSP SALZM.,1714.65,1444,1967,3high,20533.64,36.92288,-2.89719,NA,NA,NA,NA,NA,NA,3,0,0,0,0,2,0,1,1,0,3,1,1,1,0,2,3,5,0,3,4,pnig_sal,P. nigra
AL057018,AL,157.64067590000002,PINUS NIGRA SSP AUSTR.,1583.9,1335,1733,2medium,12868.29,36.92811,-2.90712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,1,1,1,3,1,1,1,0,2,3,5,0,4,3,pnig_aus,P. nigra
AL061001,AL,153.76033089999999,PINUS HALEPENSIS,1311.84,1250,1408,2medium,8156.98,37.48233,-2.46403,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,phale,P. halepensis
AL061002,AL,37.9385533,PINUS HALEPENSIS,1120.73,1090,1159,1low,3246.94,37.48561,-2.41514,NA,0,0,0,0,0,1,1,1,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,phale,P. halepensis
AL061003,AL,30.281048100000003,PINUS HALEPENSIS,1366.68,1286,1449,2medium,3060.4,37.48534,-2.45816,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,phale,P. halepensis
AL061004,AL,28.202347399999997,PINUS HALEPENSIS,1187.52,1115,1250,1low,3765.12,37.47691,-2.42492,NA,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,phale,P. halepensis
AL061005,AL,77.4173202,PINUS HALEPENSIS,1325.65,1190,1519,2medium,5402.86,37.47195,-2.43874,NA,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,phale,P. halepensis
AL061006,AL,128.08410800000001,PINUS HALEPENSIS,1325.48,1254,1427,2medium,4895.38,37.4592,-2.48121,NA,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,phale,P. halepensis
AL061007,AL,33.7925974,PINUS HALEPENSIS,1287.17,1255,1315,2medium,3496.57,37.46066,-2.48946,NA,1,0,1,1,1,1,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,phale,P. halepensis
AL061008,AL,60.378739800000005,PINUS PINASTER,1538.73,1447,1705,2medium,3680.23,37.45962,-2.46066,NA,1,0,1,2,3,1,1,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,ppinas,P. pinaster
AL061009,AL,316.30874109999996,PINUS HALEPENSIS,1480.39,1242,1719,2medium,11202.25,37.44951,-2.46327,NA,1,0,1,1,3,1,1,0,1,1,1,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,phale,P. halepensis
AL061010,AL,145.1818864,PINUS PINASTER,1346.77,1183,1576,2medium,7717.58,37.45081,-2.44683,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ppinas,P. pinaster
AL061011,AL,93.30896,PINUS HALEPENSIS,1220.19,1163,1295,2medium,6326.99,37.44519,-2.42054,NA,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,phale,P. halepensis
AL061012,AL,181.8939443,PINUS HALEPENSIS,1200.05,1133,1295,2medium,7097.01,37.44553,-2.40511,NA,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,phale,P. halepensis
AL061013,AL,162.5689328,PINUS HALEPENSIS,1287.02,1115,1509,2medium,10616.24,37.44505,-2.47957,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,phale,P. halepensis
AL061014,AL,19.4475616,PINUS HALEPENSIS,1342.43,1289,1397,2medium,3285.7,37.44714,-2.45164,NA,1,0,1,1,2,1,0,1,1,1,1,1,0,0,2,1,0,0,1,1,0,1,0,0,0,1,phale,P. halepensis
AL061015,AL,27.503499599999998,PINUS HALEPENSIS,1244.3,1184,1307,2medium,2636.07,37.44487,-2.41502,NA,1,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,phale,P. halepensis
AL061016,AL,65.4991266,PINUS PINEA,1272.55,1196,1372,2medium,6694.73,37.44004,-2.44766,NA,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ppinea,P. pinea
AL061017,AL,203.6740671,PINUS HALEPENSIS,1255.76,1051,1453,2medium,11718.95,37.42589,-2.45416,NA,1,0,1,2,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,phale,P. halepensis
AL061019,AL,21.6181481,PINUS HALEPENSIS,1154.98,1119,1213,1low,3593.96,37.43874,-2.40108,NA,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,phale,P. halepensis
AL061020,AL,171.1746474,PINUS HALEPENSIS,1245.91,1117,1435,2medium,6246.95,37.43234,-2.4596,NA,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,phale,P. halepensis
AL061021,AL,48.509329599999994,PINUS HALEPENSIS,1145.59,1069,1203,1low,4615.14,37.43212,-2.42876,NA,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,phale,P. halepensis
AL061022,AL,96.7966379,PINUS HALEPENSIS,1103.1,988,1257,1low,5773.36,37.42945,-2.40707,NA,2,1,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,phale,P. halepensis
AL061023,AL,55.9996686,PINUS HALEPENSIS,1147.08,1052,1268,1low,5602.12,37.42548,-2.46987,NA,1,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,phale,P. halepensis
AL061024,AL,24.7591673,PINUS HALEPENSIS,1245.71,1125,1367,2medium,3762.96,37.42956,-2.44343,NA,1,0,0,1,3,1,1,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,phale,P. halepensis
AL061025,AL,27.059662900000003,PINUS HALEPENSIS,1265.89,1163,1370,2medium,2548.8,37.42846,-2.44166,NA,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,phale,P. halepensis
AL061026,AL,88.6937842,PINUS HALEPENSIS,1152.02,996,1336,1low,5128.92,37.42442,-2.43336,NA,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,phale,P. halepensis
AL061027,AL,15.4543188,PINUS HALEPENSIS,1080.36,1032,1136,1low,2398.94,37.42451,-2.42847,NA,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,phale,P. halepensis
AL061028,AL,59.88739939999999,PINUS HALEPENSIS,1038.98,948,1138,1low,6401.84,37.41708,-2.42391,NA,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,phale,P. halepensis
AL061029,AL,84.0210169,PINUS HALEPENSIS,1052.84,993,1121,1low,5603.11,37.41705,-2.47065,NA,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,phale,P. halepensis
AL061030,AL,84.3511448,PINUS HALEPENSIS,1060.84,961,1196,1low,6153.26,37.41666,-2.45895,NA,1,0,1,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,phale,P. halepensis
AL061031,AL,60.6852115,PINUS HALEPENSIS,1008.39,929,1095,1low,4082.79,37.40943,-2.4693,NA,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,phale,P. halepensis
AL061032,AL,74.9078712,PINUS HALEPENSIS,926.65,838,1017,1low,8285.87,37.40561,-2.40039,NA,5,3,1,2,3,2,1,3,1,1,0,1,1,1,2,3,0,0,0,1,0,1,1,1,1,0,phale,P. halepensis
AL061033,AL,257.4544869,PINUS HALEPENSIS,928.67,842,1061,1low,11343.59,37.40373,-2.45864,NA,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,phale,P. halepensis
AL061034,AL,18.433777600000003,PINUS HALEPENSIS,934.11,857,1018,1low,2697.21,37.40715,-2.42432,NA,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,phale,P. halepensis
AL062001,AL,264.1989417,PINUS HALEPENSIS,683.36,517,867,1low,14492.78,37.32673,-2.2712,NA,2,0,2,2,1,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,3,2,1,phale,P. halepensis
AL062002,AL,90.4010208,PINUS HALEPENSIS,778.99,593,1044,1low,12699.83,37.30775,-2.30988,NA,2,2,2,1,2,0,0,0,0,0,1,0,0,0,1,1,2,0,0,0,0,0,2,4,3,1,phale,P. halepensis
AL063001,AL,40.3312704,PINUS HALEPENSIS,1102.72,1038,1164,1low,3977.02,37.8051,-2.2197,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,phale,P. halepensis
AL063002,AL,29.6422196,PINUS HALEPENSIS,1101.39,1054,1137,1low,3892.58,37.80258,-2.22279,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,phale,P. halepensis
