code,prov,area_ha,sp,elev_mean,elev_min,elev_max,elevF,perim,lat,long,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,sp_abrev,especie
AL000011,AL,103.9913438,PINUS SYLVESTRIS,1338.78,1179,1437,2medium,4839.76,37.02291,-2.90114,3,0,0,0,3,3,2,0,3,0,2,2,2,1,0,1,1,2,1,1,0,1,2,2,1,3,4,psylv,P. sylvestris
AL000012,AL,19.2971189,PINUS HALEPENSIS,979.78,908,1118,1low,1921.13,37.00452,-2.88929,3,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,phale,P. halepensis
AL000013,AL,18.0706082,PINUS HALEPENSIS,641.9,572,688,1low,1690.13,36.99346,-2.70886,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,phale,P. halepensis
AL000014,AL,22.064888200000002,PINUS HALEPENSIS,737.44,675,810,1low,2071.45,36.88488,-2.92346,NA,2,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,phale,P. halepensis
AL000015,AL,48.2646647,PINUS SYLVESTRIS,1866.74,1805,1925,3high,2558.12,37.07623,-2.78088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,0,0,0,2,1,0,1,0,1,1,1,2,psylv,P. sylvestris
AL000016,AL,26.0976475,NA,1647.81,1506,1743,2medium,2291.74,37.11959,-2.89843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,1,0,1,1,1,1,0,1,1,1,0,NA,NA
AL000017,AL,1.7360312999999998,PINUS HALEPENSIS,829.99,819,842,1low,518.71,37.14659,-2.76876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,0,0,0,0,0,1,2,2,1,0,phale,P. halepensis
AL000018,AL,74.1662324,PINUS HALEPENSIS,659.02,552,800,1low,9573.41,37.01831,-2.72591,NA,4,1,0,0,3,2,1,0,2,NA,2,0,2,2,0,1,1,1,1,2,2,2,2,2,3,3,phale,P. halepensis
AL001001,AL,193.8681527,PINUS SYLVESTRIS,1871.24,1632,1982,3high,10680.27,37.23274,-2.77019,NA,0,0,0,0,1,1,3,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,2,2,3,2,psylv,P. sylvestris
AL001002,AL,114.2510858,PINUS NIGRA SSP SALZM.,1574.51,1385,1742,2medium,6952.3,37.22005,-2.77693,NA,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,2,2,2,1,pnig_sal,P. nigra
